total_return_pct,sharpe,sortino,maxdd_pct,turnover_pct,deflated_sharpe,n_trades,alpha_pct,beta,ew_bench_pct,excess_pct,strategy,universe,year
205.03,3.24,3.75,21.67,62.84,0.9625,2346,87.33,1.114,56.49,148.54,A1_multifactor,U1_largecap,2020
10.57,0.7,0.98,13.37,51.44,0.4087,2247,-22.3,1.307,25.14,-14.57,A1_multifactor,U1_largecap,2021
-16.02,-0.67,-1.04,25.85,56.97,0.073,2272,-14.51,0.977,-5.52,-10.5,A1_multifactor,U1_largecap,2022
54.59,2.49,4.33,13.83,53.07,0.9205,2241,13.87,1.587,24.62,29.97,A1_multifactor,U1_largecap,2023
9.54,0.59,0.89,13.95,59.65,0.3739,2285,-7.68,1.457,11.71,-2.17,A1_multifactor,U1_largecap,2024
244.63,3.25,4.06,24.34,59.73,0.9697,1821,80.72,1.075,86.7,157.93,A1_multifactor,U2_tech,2020
24.19,1.11,1.56,14.67,53.37,0.5516,1767,-15.66,1.237,34.9,-10.71,A1_multifactor,U2_tech,2021
-31.61,-1.14,-1.82,43.15,54.65,0.0306,1753,-30.82,0.89,-13.0,-18.61,A1_multifactor,U2_tech,2022
82.71,3.04,5.57,15.11,55.33,0.9716,1750,24.65,1.135,46.8,35.91,A1_multifactor,U2_tech,2023
-5.28,-0.04,-0.05,26.13,58.65,0.1881,1761,-28.29,1.282,13.74,-19.02,A1_multifactor,U2_tech,2024
72.93,1.95,2.39,21.63,61.05,0.8048,1803,36.14,0.945,46.0,26.93,A1_multifactor,U3_multisector,2020
5.53,0.47,0.71,14.43,55.09,0.3328,1761,-18.51,1.203,18.05,-12.52,A1_multifactor,U3_multisector,2021
-10.49,-0.43,-0.67,26.36,53.29,0.1082,1742,-13.1,1.04,0.8,-11.29,A1_multifactor,U3_multisector,2022
5.26,0.48,0.74,18.13,52.19,0.3354,1743,-8.91,1.112,13.95,-8.69,A1_multifactor,U3_multisector,2023
10.23,0.91,1.48,9.09,62.01,0.4878,1763,1.07,1.043,9.45,0.78,A1_multifactor,U3_multisector,2024
