total_return_pct,sharpe,sortino,maxdd_pct,turnover_pct,deflated_sharpe,n_trades,alpha_pct,beta,ew_bench_pct,excess_pct,strategy,universe,year
153.2,2.74,3.15,21.05,11.0,0.9166,1941,66.46,1.076,56.49,96.71,A2_residual_mom,U1_largecap,2020
22.71,1.31,1.97,12.44,16.75,0.624,1963,-10.61,1.346,25.14,-2.43,A2_residual_mom,U1_largecap,2021
6.3,0.45,0.66,16.77,16.05,0.3267,1949,12.8,0.754,-5.52,11.82,A2_residual_mom,U1_largecap,2022
49.74,2.3,3.84,11.21,12.51,0.8896,1899,11.28,1.537,24.62,25.12,A2_residual_mom,U1_largecap,2023
14.24,0.85,1.22,18.47,19.64,0.4633,1960,-2.63,1.445,11.71,2.53,A2_residual_mom,U1_largecap,2024
141.06,2.54,3.12,21.35,15.07,0.8982,1521,41.76,0.986,86.7,54.36,A2_residual_mom,U2_tech,2020
33.94,1.38,2.02,14.31,18.4,0.6468,1505,-10.56,1.362,34.9,-0.96,A2_residual_mom,U2_tech,2021
-17.66,-0.5,-0.78,36.91,19.35,0.0967,1521,-7.41,0.931,-13.0,-4.66,A2_residual_mom,U2_tech,2022
52.69,2.23,3.88,13.59,17.14,0.8759,1504,2.61,1.12,46.8,5.89,A2_residual_mom,U2_tech,2023
16.14,0.75,1.08,21.62,24.02,0.427,1533,-1.73,1.196,13.74,2.4,A2_residual_mom,U2_tech,2024
54.36,1.6,2.0,18.75,19.58,0.7217,1564,22.31,0.936,46.0,8.36,A2_residual_mom,U3_multisector,2020
15.54,1.17,1.8,12.68,16.94,0.5771,1535,-6.18,1.142,18.05,-2.51,A2_residual_mom,U3_multisector,2021
-0.21,0.11,0.17,18.87,17.71,0.2248,1534,0.41,0.936,0.8,-1.01,A2_residual_mom,U3_multisector,2022
15.8,1.28,2.0,12.21,16.38,0.607,1512,4.42,1.015,13.95,1.85,A2_residual_mom,U3_multisector,2023
11.12,0.96,1.29,7.44,14.95,0.4965,1490,2.45,1.017,9.45,1.67,A2_residual_mom,U3_multisector,2024
