total_return_pct,sharpe,sortino,maxdd_pct,turnover_pct,deflated_sharpe,n_trades,alpha_pct,beta,ew_bench_pct,excess_pct,strategy,universe,year
91.42,2.55,2.97,15.76,9.87,0.8685,1570,61.03,0.451,56.49,34.93,A3_vol_regime,U1_largecap,2020
14.97,1.09,1.56,10.92,16.45,0.4694,1662,-7.94,0.942,25.14,-10.17,A3_vol_regime,U1_largecap,2021
-5.52,-0.25,-0.37,17.99,16.69,0.1006,1635,-2.81,0.613,-5.52,0.0,A3_vol_regime,U1_largecap,2022
39.32,1.96,3.13,11.21,13.88,0.7638,1773,4.46,1.45,24.62,14.7,A3_vol_regime,U1_largecap,2023
4.5,0.38,0.5,16.93,18.12,0.2374,1745,-7.83,1.012,11.71,-7.21,A3_vol_regime,U1_largecap,2024
80.56,2.31,2.98,17.23,14.45,0.832,1275,44.31,0.433,86.7,-6.14,A3_vol_regime,U2_tech,2020
12.05,0.76,0.96,13.63,16.34,0.3558,1114,-11.84,0.754,34.9,-22.85,A3_vol_regime,U2_tech,2021
-32.55,-1.4,-1.9,38.56,20.72,0.0104,1294,-35.59,0.744,-13.0,-19.55,A3_vol_regime,U2_tech,2022
55.32,2.32,4.01,13.59,17.93,0.8486,1504,4.81,1.119,46.8,8.52,A3_vol_regime,U2_tech,2023
13.07,0.71,0.93,20.56,19.96,0.335,1297,1.15,0.84,13.74,-0.67,A3_vol_regime,U2_tech,2024
33.44,1.89,2.03,11.17,16.84,0.7069,1247,29.36,0.199,46.0,-12.56,A3_vol_regime,U3_multisector,2020
5.87,0.53,0.75,12.68,17.17,0.2829,1373,-14.02,1.004,18.05,-12.18,A3_vol_regime,U3_multisector,2021
-7.88,-0.45,-0.64,19.12,16.64,0.0726,1080,-9.94,0.636,0.8,-8.68,A3_vol_regime,U3_multisector,2022
5.83,0.56,0.83,12.21,15.76,0.2892,1391,-5.43,0.91,13.95,-8.12,A3_vol_regime,U3_multisector,2023
1.77,0.22,0.29,7.85,14.62,0.1969,1387,-7.67,0.938,9.45,-7.68,A3_vol_regime,U3_multisector,2024
