total_return_pct,sharpe,sortino,maxdd_pct,turnover_pct,deflated_sharpe,n_trades,alpha_pct,beta,ew_bench_pct,excess_pct,strategy,universe,year
52.52,1.86,2.24,15.16,0.97,0.7829,6823,9.4,0.867,56.49,-3.97,A4_risk_parity,U1_largecap,2020
23.82,2.58,3.89,4.1,2.38,0.9192,6581,2.27,0.871,25.14,-1.32,A4_risk_parity,U1_largecap,2021
0.32,0.12,0.18,16.77,5.78,0.2278,6322,5.55,0.866,-5.52,5.84,A4_risk_parity,U1_largecap,2022
18.69,2.2,3.63,7.77,1.87,0.8618,6394,0.36,0.791,24.62,-5.93,A4_risk_parity,U1_largecap,2023
4.11,0.52,0.77,8.89,57.18,0.3484,7783,-7.44,0.867,11.71,-7.6,A4_risk_parity,U1_largecap,2024
78.49,2.13,2.66,12.53,0.78,0.8412,5437,8.34,0.883,86.7,-8.21,A4_risk_parity,U2_tech,2020
31.27,2.16,3.27,7.21,1.18,0.8545,5010,4.66,0.808,34.9,-3.63,A4_risk_parity,U2_tech,2021
-7.12,-0.13,-0.22,24.81,0.76,0.1662,4947,5.7,0.881,-13.0,5.88,A4_risk_parity,U2_tech,2022
37.88,2.53,4.46,8.25,1.14,0.9192,5082,3.08,0.805,46.8,-8.92,A4_risk_parity,U2_tech,2023
12.34,0.9,1.18,12.1,9.92,0.4767,5421,0.03,0.761,13.74,-1.4,A4_risk_parity,U2_tech,2024
41.22,1.48,1.87,18.2,1.0,0.6815,5373,11.38,0.887,46.0,-4.78,A4_risk_parity,U3_multisector,2020
19.49,2.22,3.23,5.86,3.99,0.8608,5190,1.36,0.951,18.05,1.44,A4_risk_parity,U3_multisector,2021
0.23,0.11,0.17,19.3,7.63,0.2254,5049,-0.09,0.943,0.8,-0.57,A4_risk_parity,U3_multisector,2022
11.36,1.32,2.07,10.09,1.24,0.626,4974,0.45,0.91,13.95,-2.59,A4_risk_parity,U3_multisector,2023
6.64,0.83,1.06,6.09,15.12,0.4494,5222,-2.97,0.991,9.45,-2.81,A4_risk_parity,U3_multisector,2024
