total_return_pct,sharpe,sortino,maxdd_pct,turnover_pct,deflated_sharpe,n_trades,alpha_pct,beta,ew_bench_pct,excess_pct,strategy,universe,year
45.65,1.63,2.05,15.67,49.05,0.5972,2486,6.91,0.814,56.49,-10.84,A5_ic_adaptive,U1_largecap,2020
9.32,0.96,1.42,8.85,57.68,0.3671,2583,-11.28,0.815,25.14,-15.82,A5_ic_adaptive,U1_largecap,2021
-12.58,-0.79,-1.11,24.01,46.67,0.0285,2429,-12.43,0.677,-5.52,-7.06,A5_ic_adaptive,U1_largecap,2022
3.07,0.33,0.45,18.85,58.78,0.1847,2505,-22.36,0.995,24.62,-21.55,A5_ic_adaptive,U1_largecap,2023
1.87,0.26,0.35,6.37,62.17,0.1682,2575,-7.36,0.686,11.71,-9.84,A5_ic_adaptive,U1_largecap,2024
109.52,2.63,3.79,14.49,50.32,0.8741,2013,31.63,0.841,86.7,22.82,A5_ic_adaptive,U2_tech,2020
20.89,1.43,2.27,11.19,44.79,0.533,1969,-3.12,0.75,34.9,-14.01,A5_ic_adaptive,U2_tech,2021
-22.23,-0.88,-1.43,35.02,46.91,0.0243,1956,-18.0,0.773,-13.0,-9.23,A5_ic_adaptive,U2_tech,2022
16.47,1.21,2.1,14.56,62.99,0.4551,2079,-14.67,0.736,46.8,-30.33,A5_ic_adaptive,U2_tech,2023
5.67,0.47,0.59,12.53,43.29,0.2188,1909,-5.76,0.675,13.74,-8.07,A5_ic_adaptive,U2_tech,2024
20.74,0.94,1.14,18.41,51.35,0.3606,2022,-2.15,0.725,46.0,-25.26,A5_ic_adaptive,U3_multisector,2020
9.17,0.98,1.47,9.89,48.0,0.3736,1974,-6.42,0.809,18.05,-8.88,A5_ic_adaptive,U3_multisector,2021
-6.01,-0.3,-0.48,22.35,56.55,0.0715,2039,-7.76,0.816,0.8,-6.81,A5_ic_adaptive,U3_multisector,2022
0.21,0.08,0.12,19.09,70.96,0.1312,2135,-11.39,0.827,13.95,-13.74,A5_ic_adaptive,U3_multisector,2023
-4.71,-0.5,-0.75,9.78,66.3,0.0502,2101,-14.77,0.804,9.45,-14.16,A5_ic_adaptive,U3_multisector,2024
