total_return_pct,sharpe,sortino,maxdd_pct,turnover_pct,deflated_sharpe,n_trades,alpha_pct,beta,ew_bench_pct,excess_pct,strategy,universe,year
100.07,2.69,3.2,15.23,12.34,0.9232,1705,66.77,0.448,56.49,43.58,B1_dual_momentum,U1_largecap,2020
15.53,0.92,1.35,12.44,16.42,0.4876,1946,-18.92,1.386,25.14,-9.61,B1_dual_momentum,U1_largecap,2021
-0.71,-0.09,-0.05,8.84,4.8,0.1746,294,-0.5,0.04,-5.52,4.81,B1_dual_momentum,U1_largecap,2022
47.31,2.09,3.21,11.75,14.7,0.8556,1666,11.64,1.462,24.62,22.69,B1_dual_momentum,U1_largecap,2023
20.21,0.98,1.42,21.02,21.29,0.5092,1935,0.72,1.721,11.71,8.5,B1_dual_momentum,U1_largecap,2024
148.31,3.11,4.17,16.12,15.67,0.9646,1431,67.87,0.653,86.7,61.61,B1_dual_momentum,U2_tech,2020
38.09,1.46,2.13,16.32,16.98,0.671,1527,-9.0,1.431,34.9,3.19,B1_dual_momentum,U2_tech,2021
-3.16,-1.23,-0.14,3.16,0.99,0.0007,14,-3.87,0.006,-13.0,9.84,B1_dual_momentum,U2_tech,2022
32.75,1.43,2.22,19.18,17.58,0.6726,1335,-14.8,1.128,46.8,-14.05,B1_dual_momentum,U2_tech,2023
3.8,0.31,0.42,32.44,23.95,0.2828,1541,-18.78,1.451,13.74,-9.94,B1_dual_momentum,U2_tech,2024
17.98,1.24,1.23,10.67,17.43,0.5856,1042,15.58,0.155,46.0,-28.02,B1_dual_momentum,U3_multisector,2020
13.23,1.0,1.53,12.09,18.51,0.5141,1520,-8.28,1.128,18.05,-4.82,B1_dual_momentum,U3_multisector,2021
-8.47,-1.19,-0.8,13.18,9.54,0.0246,381,-10.82,0.098,0.8,-9.27,B1_dual_momentum,U3_multisector,2022
1.65,0.25,0.32,6.96,15.95,0.2633,967,-3.35,0.399,13.95,-12.3,B1_dual_momentum,U3_multisector,2023
12.29,1.04,1.73,7.03,17.2,0.5383,1489,2.43,1.132,9.45,2.84,B1_dual_momentum,U3_multisector,2024
