case,resolution,n_verts_a_before,n_quads_a_before,free_a_before,tj_a_before,nm_a_before,dup_a_before,orphan_a_before,comp_a_before,sliv_q_a_before,sliv_t_a_before,nonplanar_q_a_before,inverted_q_a_before,aspect_p95_a_before,min_angle_p05_a_before,planarity_p95_a_before,mean_edge_a_before,edge_cv_a_before,n_verts_a_after,n_quads_a_after,free_a_after,tj_a_after,nm_a_after,dup_a_after,orphan_a_after,comp_a_after,sliv_q_a_after,sliv_t_a_after,nonplanar_q_a_after,inverted_q_a_after,aspect_p95_a_after,min_angle_p05_a_after,planarity_p95_a_after,mean_edge_a_after,edge_cv_a_after,coverage
box_unfolding,2.0,28085.0,27612.0,920.0,0.0,0.0,240.0,240.0,1.0,7520.0,0.0,16.0,0.0,571.5,90.0,0.0,1.502,0.575,17173,17056,256,0,0,0,0,1,0,0,28,2,1.017,90.0,0.0,2.013,0.069,both
box_unfolding,4.0,7321.0,7080.0,480.0,116.0,0.0,120.0,120.0,1.0,0.0,0.0,8.0,0.0,1.017,90.0,0.0,2.961,0.339,4388,4325,132,0,0,0,0,1,0,0,16,0,1.255,90.0,0.0,3.994,0.077,both
box_unfolding,8.0,1984.0,1861.0,244.0,48.0,0.0,60.0,60.0,1.0,352.0,0.0,8.0,0.0,16.833,90.0,0.0,5.756,0.502,1220,1189,68,0,0,0,0,1,0,0,24,0,3.04,90.0,0.0,7.625,0.141,both
branching_tree,2.0,44631.0,44054.0,1624.0,0.0,0.0,89.0,89.0,1.0,17978.0,0.0,168.0,0.0,1057.259,90.0,0.0,1.375,0.665,22252,21876,634,72,0,0,0,1,0,0,22,2,1.009,90.0,0.0,1.99,0.037,both
branching_tree,4.0,11471.0,11180.0,836.0,98.0,0.0,67.0,67.0,1.0,1110.0,0.0,97.0,0.0,8.99,90.0,0.0,2.732,0.436,5785,5630,313,0,0,0,0,1,0,0,21,0,1.021,90.0,0.0,3.931,0.067,both
branching_tree,8.0,3068.0,2919.0,410.0,42.0,0.0,40.0,40.0,1.0,850.0,0.0,58.0,2.0,23.348,90.0,0.0,5.349,0.559,1561,1482,157,0,0,0,0,1,5,0,26,3,3.651,77.97,0.0,7.667,0.144,both
cascade_5_deep,2.0,,,,,,,,,,,,,,,,,,10759,10488,552,0,0,0,0,1,0,0,17,3,1.0,90.0,0.0,2.001,0.023,after_only
cascade_5_deep,4.0,,,,,,,,,,,,,,,,,,2923,2786,284,0,0,0,0,1,0,0,17,0,1.957,90.0,0.0,3.887,0.082,after_only
cascade_5_deep,8.0,,,,,,,,,,,,,,,,,,864,795,152,0,0,0,0,1,5,0,24,4,3.75,90.0,0.0,7.316,0.167,after_only
closed_box,2.0,,,,,,,,,,,,,,,,,,26008,26004,32,0,0,0,0,1,0,0,28,2,1.0,90.0,0.0,2.021,0.077,after_only
closed_box,4.0,,,,,,,,,,,,,,,,,,6710,6703,22,0,0,0,0,1,0,0,16,0,1.284,90.0,0.0,3.977,0.074,after_only
closed_box,8.0,,,,,,,,,,,,,,,,,,1746,1738,28,0,0,0,0,1,0,0,22,0,1.231,83.19,0.0,7.798,0.126,after_only
cross,2.0,22404.0,22045.0,520.0,0.0,0.0,104.0,104.0,1.0,0.0,0.0,20.0,4.0,1.0,90.0,0.0,2.006,0.04,22300,22045,528,0,0,0,0,1,0,0,20,2,1.0,90.0,0.0,2.006,0.042,both
cross,4.0,10989.0,10724.0,744.0,156.0,0.0,54.0,54.0,1.0,0.0,0.0,12.0,0.0,1.019,90.0,0.0,2.719,0.353,5733,5604,268,0,0,0,0,1,0,0,14,2,1.034,90.0,0.0,3.978,0.07,both
cross,8.0,2941.0,2804.0,380.0,78.0,0.0,30.0,30.0,1.0,0.0,0.0,14.0,2.0,2.19,90.0,0.0,5.332,0.393,1507,1444,136,0,0,0,0,1,0,0,18,2,3.95,90.0,0.0,7.847,0.138,both
cross_nonrect,2.0,19144.0,18789.0,488.0,0.0,0.0,116.0,116.0,1.0,0.0,0.0,20.0,4.0,1.0,90.0,0.0,2.007,0.046,19028,18789,496,0,0,0,0,1,0,0,20,2,1.0,90.0,0.0,2.007,0.048,both
cross_nonrect,4.0,8569.0,8320.0,644.0,128.0,0.0,60.0,60.0,1.0,0.0,0.0,12.0,0.0,1.023,90.0,0.0,2.856,0.346,5044,4921,256,0,0,0,0,1,0,0,14,2,1.283,90.0,0.0,3.923,0.068,both
cross_nonrect,8.0,2304.0,2177.0,324.0,46.0,0.0,32.0,32.0,1.0,450.0,0.0,14.0,2.0,18.667,90.0,0.0,5.585,0.526,1374,1313,132,0,0,0,0,1,0,0,18,2,3.824,90.0,0.0,7.605,0.134,both
h_shape,2.0,24080.0,23484.0,1508.0,146.0,0.0,8.0,8.0,1.0,1408.0,0.0,16.0,6.0,6.0,90.0,0.0,1.829,0.232,20167,19664,1004,0,0,0,0,1,0,0,16,0,1.015,90.0,0.0,1.991,0.015,both
h_shape,4.0,6225.0,5924.0,752.0,0.0,0.0,8.0,8.0,1.0,924.0,0.0,12.0,8.0,264.0,90.0,0.0,3.643,0.291,5163,4916,494,0,2,0,0,1,0,0,16,2,1.015,90.0,0.0,3.986,0.028,both
h_shape,8.0,1692.0,1540.0,370.0,32.0,0.0,8.0,8.0,1.0,88.0,0.0,13.0,4.0,5.5,90.0,0.0,7.169,0.232,1444,1320,250,0,0,0,0,1,0,0,16,1,1.06,90.0,0.0,7.725,0.073,both
l_shape,2.0,6254.0,6084.0,334.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,1.01,90.0,0.0,1.987,0.013,6199,6032,332,0,0,0,0,1,0,0,8,0,1.018,90.0,0.0,1.995,0.014,both
l_shape,4.0,1620.0,1534.0,166.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,1.016,90.0,0.0,3.959,0.025,1591,1508,164,0,0,0,0,1,0,0,8,0,1.018,90.0,0.0,3.993,0.025,both
