case,resolution,metric,before,after,abs_delta,rel_pct,smaller_is_better,improved
box_unfolding,2.0,n_verts_a,28085.0,17173.0,-10912.0,-38.853480505607976,True,True
box_unfolding,2.0,n_quads_a,27612.0,17056.0,-10556.0,-38.22975517890772,True,True
box_unfolding,2.0,free_a,920.0,256.0,-664.0,-72.17391304347827,True,True
box_unfolding,2.0,tj_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,2.0,nm_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,2.0,dup_a,240.0,0.0,-240.0,-100.0,True,True
box_unfolding,2.0,orphan_a,240.0,0.0,-240.0,-100.0,True,True
box_unfolding,2.0,comp_a,1.0,1.0,0.0,0.0,False,True
box_unfolding,2.0,sliv_q_a,7520.0,0.0,-7520.0,-100.0,True,True
box_unfolding,2.0,sliv_t_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,2.0,nonplanar_q_a,16.0,28.0,12.0,75.0,True,False
box_unfolding,2.0,inverted_q_a,0.0,2.0,2.0,inf,True,False
box_unfolding,2.0,aspect_p95_a,571.5,1.017,-570.483,-99.82204724409448,True,True
box_unfolding,2.0,min_angle_p05_a,90.0,90.0,0.0,0.0,False,True
box_unfolding,2.0,planarity_p95_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,2.0,mean_edge_a,1.502,2.013,0.5109999999999999,34.02130492676431,False,True
box_unfolding,2.0,edge_cv_a,0.575,0.069,-0.506,-88.00000000000001,True,True
box_unfolding,4.0,n_verts_a,7321.0,4388.0,-2933.0,-40.06283294631881,True,True
box_unfolding,4.0,n_quads_a,7080.0,4325.0,-2755.0,-38.91242937853107,True,True
box_unfolding,4.0,free_a,480.0,132.0,-348.0,-72.5,True,True
box_unfolding,4.0,tj_a,116.0,0.0,-116.0,-100.0,True,True
box_unfolding,4.0,nm_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,4.0,dup_a,120.0,0.0,-120.0,-100.0,True,True
box_unfolding,4.0,orphan_a,120.0,0.0,-120.0,-100.0,True,True
box_unfolding,4.0,comp_a,1.0,1.0,0.0,0.0,False,True
box_unfolding,4.0,sliv_q_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,4.0,sliv_t_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,4.0,nonplanar_q_a,8.0,16.0,8.0,100.0,True,False
box_unfolding,4.0,inverted_q_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,4.0,aspect_p95_a,1.017,1.255,0.238,23.402163225172075,True,False
box_unfolding,4.0,min_angle_p05_a,90.0,90.0,0.0,0.0,False,True
box_unfolding,4.0,planarity_p95_a,0.0,0.0,0.0,0.0,True,True
box_unfolding,4.0,mean_edge_a,2.961,3.994,1.0330000000000004,34.88686254643703,False,True
box_unfolding,4.0,edge_cv_a,0.339,0.077,-0.262,-77.28613569321534,True,True
box_unfolding,8.0,n_verts_a,1984.0,1220.0,-764.0,-38.50806451612903,True,True
box_unfolding,8.0,n_quads_a,1861.0,1189.0,-672.0,-36.109618484685654,True,True
