sample,group,file_mb,nodes,ctetra,cbar,conm2,surface_triangles,surface_triangles_p2,rbe2_edges,rbe3_edges,contact_pairs,contact_edges,contact_edges_active,fixed_nodes,n_blobs,total_mass_kg,payload_mass_kg,frequency_hz,eigval,bbox_x_m,bbox_y_m,bbox_z_m,bbox_diag_m,bbox_volume_m3,cbar_length_mean_m,cbar_length_max_m,cbar_radius_mean_m,pipeline_version,pipeline_git_sha
g1_01,g1,71.85874557495117,224407,135938,30,1,42810,171240,8667,467,3,1884,1884,4134,4,6.61680268624446,1.3949999809265137,1464.3412678835264,84653384.0,0.24500000476837158,0.32999998331069946,0.10699999332427979,0.4247046113014221,0.008650949224829674,0.010250002145767212,0.011500000953674316,0.002549999626353383,lg_vs_260430.v3,98c9d43
g1_02,g1,229.2446231842041,702755,421050,192,1,139802,559208,28875,496,18,29424,28998,4020,11,16.936968164340215,1.312000036239624,806.5513235763626,25681698.0,0.25,0.3700001835823059,0.25500011444091797,0.5142229199409485,0.02358752302825451,0.00941147655248642,0.010499954223632812,0.0025500000920146704,lg_vs_260430.v3,98c9d43
g1_03,g1,77.52786445617676,239774,141429,76,1,50724,202896,13657,656,9,6051,6051,2682,6,5.437526677245581,0.6050000190734863,1098.611601594803,47648376.0,0.23000021278858185,0.22999998927116394,0.15999996662139893,0.3624914884567261,0.008464005775749683,0.009428196586668491,0.013999998569488525,0.002550000324845314,lg_vs_260430.v3,98c9d43
g1_04,g1,161.27039623260498,492187,288038,190,1,107004,428016,28957,475,19,16254,15774,3299,10,10.252462451200767,0.6110000014305115,917.0240490386535,33198710.0,0.3199999928474426,0.23500001430511475,0.24700003862380981,0.46758317947387695,0.01857440359890461,0.008923690766096115,0.014999985694885254,0.002550000324845314,lg_vs_260430.v3,98c9d43
g1_05,g1,58.1324348449707,180475,105335,44,1,39562,158248,9234,432,5,2631,2631,3180,6,4.079871372066084,0.6110000014305115,1697.3444154195595,113736448.0,0.2199999988079071,0.320000022649765,0.07999998331069946,0.3964845538139343,0.0056319995783269405,0.008744338527321815,0.010500013828277588,0.0025500000920146704,lg_vs_260430.v3,98c9d43
g1_06,g1,67.56714725494385,207251,120744,70,1,45682,182728,11687,338,12,4875,4842,2385,8,4.830029720797055,0.8299999833106995,812.9372602431758,26089982.0,0.25,0.2499999701976776,0.17399999499320984,0.3940507471561432,0.01087499875575304,0.008823974058032036,0.010500013828277588,0.0025500005576759577,lg_vs_260430.v3,98c9d43
g1_07,g1,65.78554248809814,204010,120376,60,1,42962,171848,11003,627,5,3855,3834,3180,6,4.909611431180064,0.6110000014305115,1784.598470748956,125730528.0,0.21999996900558472,0.3199999928474426,0.10899996757507324,0.403337299823761,0.0076735969632864,0.008020011708140373,0.010500013828277588,0.0025500005576759577,lg_vs_260430.v3,98c9d43
g1_08,g1,97.22301483154297,300126,176161,90,1,64250,257000,14475,574,12,7629,7596,2915,10,7.550622974249756,1.5449999570846558,564.3021908527103,12571388.0,0.3199999928474426,0.25999999046325684,0.1549999713897705,0.4404826760292053,0.012895996682345867,0.008501879870891571,0.011879980564117432,0.002565555740147829,lg_vs_260430.v3,98c9d43
g1_09,g1,330.6864128112793,1011269,606491,292,1,201584,806336,47912,372,30,28944,28710,7608,17,23.322276710121105,1.2769999504089355,1116.256662512124,49191248.0,0.4200000762939453,0.4200003147125244,0.2464999556541443,0.6430882811546326,0.04348263517022133,0.00999930128455162,0.02500009536743164,0.0025500000920146704,lg_vs_260430.v3,98c9d43
g1_10,g1,85.15737724304199,260477,151242,104,1,58014,232056,16460,1152,16,9885,9675,2417,10,7.007576103332201,2.5220000743865967,472.9073093574403,8829005.0,0.24000000953674316,0.22599801421165466,0.14399999380111694,0.3597375452518463,0.007810491602867842,0.008623939007520676,0.012557029724121094,0.002488461323082447,lg_vs_260430.v3,98c9d43
