aspect_max,aspect_p95,case,deleted_quads,deleted_tris,edge_length_cv,error_code,error_phase,n_components,n_cylinders,n_duplicate_verts,n_fillet_tris,n_folds,n_free_edges,n_green,n_inverted_quads,n_iterations,n_junctions_2d,n_junctions_3d,n_nonmanifold_edges,n_nonplanar_quads,n_orphans,n_panels,n_purple,n_quads,n_skipped_pairs_protected,n_sliver_quads,n_sliver_rejects,n_spheres,n_surviving_tris,n_t_splits,n_tris,n_vertices,n_yellow,phase_reached,planarity_p95,resolution,wall_seconds
1.0,1.0,accessory_l_bracket,4350,0,0.0,,,1,4,0,8700,4,1288,0,0,1,0,0,0,0,0,5,18398,71312,0,0,0,0,133924,0,0,71957,41366,done,0.0,2.0,10.772
1.0,1.0,accessory_l_bracket,2133,0,0.0,,,1,4,0,4266,4,644,0,0,1,0,0,0,0,0,5,4606,17828,0,0,0,0,31390,0,0,18151,10258,done,0.0,4.0,1.936
1.0,1.0,accessory_l_bracket,972,0,0.0,,,1,4,0,1944,4,322,0,0,1,0,0,0,0,0,5,1176,4457,0,0,0,0,6970,0,0,4619,2606,done,0.0,8.0,0.531
1.0,1.0,box_unfolding,4500,0,0.0,,,1,8,0,9000,4,240,3192,0,2,0,8,0,0,0,5,2416,18000,0,0,0,4,27000,0,0,18121,1706,done,0.0,2.0,3.36
1.0,1.0,box_unfolding,2100,0,0.0,,,1,8,0,4200,4,120,800,0,2,0,8,0,0,0,5,612,4500,0,0,0,4,4800,0,0,4561,444,done,0.0,4.0,0.7
1.0,1.0,box_unfolding,900,0,0.0,,,1,8,0,1800,4,60,162,0,2,0,8,0,0,0,5,138,1125,0,0,0,4,450,0,0,1156,96,done,0.0,8.0,0.219
1.0,1.0,bracket_v01,4490,0,0.0,,,1,4,0,8980,4,1488,0,0,1,0,0,0,0,0,5,21118,98096,0,0,0,0,187212,0,0,98841,40566,done,0.0,2.0,15.19
1.0,1.0,bracket_v01,2203,0,0.0,,,1,4,0,4406,4,744,0,0,1,0,0,0,0,0,5,5286,24524,0,0,0,0,44642,0,0,24897,10058,done,0.0,4.0,2.816
1.031,1.031,bracket_v01,1012,0,0.01,,,1,4,0,2024,4,372,0,0,1,0,0,0,0,0,5,1324,6138,0,0,0,0,10252,0,0,6325,2550,done,0.0,8.0,0.756
1.0,1.0,bracket_v02,4420,0,0.0,,,1,4,0,8840,4,1552,0,0,1,0,0,0,0,0,5,23358,98912,0,0,0,0,188984,0,0,99689,40720,done,0.0,2.0,15.383
1.0,1.0,bracket_v02,2229,0,0.0,,,1,4,0,4458,4,776,0,0,1,0,0,0,0,0,5,5846,24728,0,0,0,0,44998,0,0,25117,10102,done,0.0,4.0,2.812
1.036,1.036,bracket_v02,1045,0,0.012,,,1,4,0,2090,4,388,0,0,1,0,0,0,0,0,5,1468,6189,0,0,0,0,10288,0,0,6384,2562,done,0.0,8.0,0.826
1.0,1.0,bracket_v03,4670,0,0.0,,,1,4,0,9340,4,1504,0,0,1,0,0,0,0,0,5,18878,98752,0,0,0,0,188164,0,0,99505,40334,done,0.0,2.0,15.282
1.0,1.0,bracket_v03,2301,0,0.0,,,1,4,0,4602,4,752,0,0,1,0,0,0,0,0,5,4726,24688,0,0,0,0,44774,0,0,25065,10002,done,0.0,4.0,2.815
1.0,1.0,bracket_v03,1078,0,0.0,,,1,4,0,2156,4,376,0,0,1,0,0,0,0,0,5,1190,6172,0,0,0,0,10188,0,0,6361,2576,done,0.0,8.0,0.644
1.0,1.0,bracket_v04,4930,0,0.0,,,1,4,0,9860,4,1640,0,0,1,0,0,0,0,0,5,24478,115280,0,0,0,0,220700,0,0,116101,40798,done,0.0,2.0,18.811
1.0,1.0,bracket_v04,2407,0,0.0,,,1,4,0,4814,4,820,0,0,1,0,0,0,0,0,5,6126,28820,0,0,0,0,52826,0,0,29231,10114,done,0.0,4.0,3.327
1.032,1.032,bracket_v04,1137,0,0.009,,,1,4,0,2274,4,412,0,0,1,0,0,0,0,0,5,1544,7294,0,0,0,0,12314,0,0,7501,2564,done,0.0,8.0,0.835
1.0,1.0,bracket_v05,4750,0,0.0,,,1,4,0,9500,4,1512,0,0,1,0,0,0,0,0,5,20350,98304,0,0,0,0,187108,0,0,99061,40566,done,0.0,2.0,16.392
1.0,1.0,bracket_v05,2333,0,0.0,,,1,4,0,4666,4,756,0,0,1,0,0,0,0,0,5,5090,24576,0,0,0,0,44486,0,0,24955,10058,done,0.0,4.0,2.7
1.0,1.0,bracket_v05,1069,0,0.0,,,1,4,0,2138,4,378,0,0,1,0,0,0,0,0,5,1282,6144,0,0,0,0,10150,0,0,6334,2590,done,0.0,8.0,0.724
1.0,1.0,bracket_v06,3860,0,0.0,,,1,4,0,7720,4,1424,0,0,1,0,0,0,0,0,5,23358,83496,0,0,0,0,159272,0,0,84209,37110,done,0.0,2.0,11.401
1.0,1.0,bracket_v06,1891,0,0.0,,,1,4,0,3782,4,712,0,0,1,0,0,0,0,0,5,5846,20874,0,0,0,0,37966,0,0,21231,9218,done,0.0,4.0,2.019
1.042,1.042,bracket_v06,861,0,0.014,,,1,4,0,1722,4,356,0,0,1,0,0,0,0,0,5,1452,5226,0,0,0,0,8730,0,0,5405,2334,done,0.0,8.0,0.629
1.0,1.0,bracket_v07,4490,0,0.0,,,1,4,0,8980,4,1632,0,0,1,0,0,0,0,0,5,25598,111056,0,0,0,0,213132,0,0,111873,40720,done,0.0,2.0,17.207
1.0,1.0,bracket_v07,2259,0,0.0,,,1,4,0,4518,4,816,0,0,1,0,0,0,0,0,5,6406,27764,0,0,0,0,51010,0,0,28173,10102,done,0.0,4.0,2.896
1.036,1.036,bracket_v07,1055,0,0.012,,,1,4,0,2110,4,408,0,0,1,0,0,0,0,0,5,1608,6949,0,0,0,0,11788,0,0,7154,2562,done,0.0,8.0,0.771
1.0,1.0,bracket_v08,3520,0,0.0,,,1,4,0,7040,4,1344,0,0,1,0,0,0,0,0,5,22220,71328,0,0,0,0,135616,0,0,72001,35300,done,0.0,2.0,9.09
1.0,1.0,bracket_v08,1729,0,0.0,,,1,4,0,3458,4,672,0,0,1,0,0,0,0,0,5,5566,17832,0,0,0,0,32206,0,0,18169,8762,done,0.0,4.0,1.723
1.0,1.0,bracket_v08,794,0,0.0,,,1,4,0,1588,4,336,0,0,1,0,0,0,0,0,5,1398,4458,0,0,0,0,7328,0,0,4627,2260,done,0.0,8.0,0.564
1.0,1.0,bracket_v09,4860,0,0.0,,,1,4,0,9720,4,1776,0,0,1,0,0,0,0,0,5,28054,132184,0,0,0,0,254648,0,0,133073,41262,done,0.0,2.0,21.769
1.0,1.0,bracket_v09,2446,0,0.0,,,1,4,0,4892,4,888,0,0,1,0,0,0,0,0,5,7020,33046,0,0,0,0,61200,0,0,33491,10226,done,0.0,4.0,3.559
1.032,1.032,bracket_v09,1140,0,0.009,,,1,4,0,2280,4,446,0,0,1,0,0,0,0,0,5,1760,8365,0,0,0,0,14450,0,0,8589,2592,done,0.0,8.0,0.865
1.0,1.0,bracket_v10,4050,0,0.0,,,1,4,0,8100,4,1528,0,0,1,0,0,0,0,0,5,24388,95696,0,0,0,0,183292,0,0,96461,39086,done,0.0,2.0,13.764
1.0,1.0,bracket_v10,1984,0,0.0,,,1,4,0,3968,4,764,0,0,1,0,0,0,0,0,5,6100,23924,0,0,0,0,43880,0,0,24307,9702,done,0.0,4.0,2.459
1.037,1.037,bracket_v10,950,0,0.01,,,1,4,0,1900,4,384,0,0,1,0,0,0,0,0,5,1536,6068,0,0,0,0,10236,0,0,6261,2466,done,0.0,8.0,0.843
1.0,1.0,bracket_v11,6790,0,0.0,,,1,5,0,13580,4,1336,0,0,2,0,2,0,0,0,5,17388,100776,0,0,0,1,187972,0,0,101445,49096,done,0.0,2.0,21.643
1.0,1.0,bracket_v11,3359,0,0.0,,,1,5,0,6718,4,668,0,0,2,0,2,0,0,0,5,4344,25194,0,0,0,1,43670,0,0,25529,12160,done,0.0,4.0,3.644
1.333,1.04,bracket_v11,1633,0,0.028,,,1,5,0,3266,4,336,0,0,2,0,2,0,0,0,5,1092,6371,0,0,0,1,9476,0,0,6540,3112,done,0.0,8.0,0.833
1.0,1.0,bracket_v12,6490,0,0.0,,,1,5,0,12980,4,1400,0,0,2,0,2,0,0,0,5,19628,106464,0,0,0,1,199948,0,0,107165,49584,done,0.0,2.0,22.421
1.0,1.0,bracket_v12,3207,0,0.0,,,1,5,0,6414,4,700,0,0,2,0,2,0,0,0,5,4904,26616,0,0,0,1,46818,0,0,26967,12280,done,0.0,4.0,3.752
1.0,1.0,bracket_v12,1549,0,0.0,,,1,5,0,3098,4,350,0,0,2,0,2,0,0,0,5,1260,6654,0,0,0,1,10210,0,0,6830,3102,done,0.0,8.0,0.799
1.0,1.0,bracket_v13,7450,0,0.0,,,1,5,0,14900,4,1600,0,0,2,0,2,0,0,0,5,21868,140080,0,0,0,1,265260,0,0,140881,50824,done,0.0,2.0,34.289
1.0,1.0,bracket_v13,3690,0,0.0,,,1,5,0,7380,4,800,0,0,2,0,2,0,0,0,5,5464,35020,0,0,0,1,62660,0,0,35421,12584,done,0.0,4.0,5.232
1.0,1.0,bracket_v13,1807,0,0.0,,,1,5,0,3614,4,400,0,0,2,0,2,0,0,0,5,1400,8755,0,0,0,1,13896,0,0,8956,3178,done,0.0,8.0,1.132
1.0,1.0,bracket_v14,7930,0,0.0,,,1,5,0,15860,4,1488,0,0,2,0,2,0,0,0,5,18508,125936,0,0,0,1,236012,0,0,126681,48608,done,0.0,2.0,30.871
1.0,1.0,bracket_v14,3927,0,0.0,,,1,5,0,7854,4,744,0,0,2,0,2,0,0,0,5,4624,31484,0,0,0,1,55114,0,0,31857,12040,done,0.0,4.0,4.753
1.0,1.0,bracket_v14,1911,0,0.0,,,1,5,0,3822,4,372,0,0,2,0,2,0,0,0,5,1202,7871,0,0,0,1,11920,0,0,8058,3032,done,0.0,8.0,1.078
1.0,1.0,bracket_v15,6210,0,0.0,,,1,5,0,12420,4,1440,0,0,2,0,2,0,0,0,5,20748,106080,0,0,0,1,199740,0,0,106801,50336,done,0.0,2.0,21.195
1.0,1.0,bracket_v15,3067,0,0.0,,,1,5,0,6134,4,720,0,0,2,0,2,0,0,0,5,5184,26520,0,0,0,1,46906,0,0,26881,12464,done,0.0,4.0,3.625
1.0,1.0,bracket_v15,1494,0,0.0,,,1,5,0,2988,4,360,0,0,2,0,2,0,0,0,5,1300,6630,0,0,0,1,10272,0,0,6811,3168,done,0.0,8.0,0.879
1.0,1.0,bracket_v16,13745,0,0.0,,,1,10,0,27490,6,1112,0,0,2,0,8,0,0,0,7,18110,128304,0,0,0,4,229118,0,0,128861,48822,done,0.0,2.0,49.733
1.0,1.0,bracket_v16,6725,0,0.0,,,1,10,0,13450,6,556,0,0,2,0,8,0,0,0,7,4520,32076,0,0,0,4,50702,0,0,32355,12112,done,0.0,4.0,6.831
1.0,1.0,bracket_v16,3194,0,0.0,,,1,10,0,6388,6,278,0,0,2,0,8,0,0,0,7,1186,8019,0,0,0,4,9650,0,0,8159,3134,done,0.0,8.0,1.438
1.0,1.0,bracket_v17,15545,0,0.0,,,1,10,0,31090,6,1272,0,0,2,0,8,0,0,0,7,19390,164528,0,0,0,4,297966,0,0,165165,49378,done,0.0,2.0,73.352
1.0,1.0,bracket_v17,7625,0,0.0,,,1,10,0,15250,6,636,0,0,2,0,8,0,0,0,7,4840,41132,0,0,0,4,67014,0,0,41451,12244,done,0.0,4.0,9.789
1.0,1.0,bracket_v17,3643,0,0.0,,,1,10,0,7286,6,318,0,0,2,0,8,0,0,0,7,1266,10283,0,0,0,4,13280,0,0,10443,3170,done,0.0,8.0,1.821
1.0,1.0,bracket_v18,16585,0,0.0,,,1,10,0,33170,6,1368,0,0,2,0,8,0,0,0,7,20030,187600,0,0,0,4,342030,0,0,188285,49770,done,0.0,2.0,93.078
1.0,1.0,bracket_v18,8145,0,0.0,,,1,10,0,16290,6,684,0,0,2,0,8,0,0,0,7,5000,46900,0,0,0,4,77510,0,0,47243,12340,done,0.0,4.0,11.358
1.0,1.0,bracket_v18,3925,0,0.0,,,1,10,0,7850,6,342,0,0,2,0,8,0,0,0,7,1250,11725,0,0,0,4,15600,0,0,11897,3160,done,0.0,8.0,2.0
1.0,1.0,bracket_v19,17625,0,0.0,,,1,10,0,35250,6,1448,0,0,2,0,8,0,0,0,7,20670,211536,0,0,0,4,387822,0,0,212261,50162,done,0.0,2.0,109.42
1.0,1.0,bracket_v19,8665,0,0.0,,,1,10,0,17330,6,724,0,0,2,0,8,0,0,0,7,5160,52884,0,0,0,4,88438,0,0,53247,12436,done,0.0,4.0,13.617
1.017,1.013,bracket_v19,3804,339,0.036,,,1,10,0,7947,6,423,0,0,2,0,8,0,0,0,7,1348,13125,0,0,112,2,18642,113,339,13505,3219,done,0.0,8.0,2.617
1.0,1.0,bracket_v20,16425,0,0.0,,,1,10,0,32850,6,1376,0,0,2,0,8,0,0,0,7,20030,182720,0,0,0,4,332590,0,0,183409,49378,done,0.0,2.0,88.262
1.0,1.0,bracket_v20,8065,0,0.0,,,1,10,0,16130,6,688,0,0,2,0,8,0,0,0,7,5000,45680,0,0,0,4,75230,0,0,46025,12244,done,0.0,4.0,10.97
1.018,1.014,bracket_v20,3536,321,0.038,,,1,10,0,7393,6,397,0,0,2,0,8,0,0,0,7,1254,11298,0,0,100,2,15524,107,321,11656,3152,done,0.0,8.0,2.072
1.0,1.0,cascade_5_deep,1600,0,0.0,,,1,4,0,3200,4,480,756,0,1,0,0,0,0,0,5,1080,8000,0,0,0,0,12800,0,0,8241,1076,done,0.0,2.0,0.71
1.0,1.0,cascade_5_deep,800,0,0.0,,,1,4,0,1600,4,240,186,0,1,0,0,0,0,0,5,266,2000,0,0,0,0,2400,0,0,2121,266,done,0.0,4.0,0.182
1.0,1.0,cascade_5_deep,400,0,0.0,,,1,4,0,800,4,120,40,0,1,0,0,0,0,0,5,64,500,0,0,0,0,200,0,0,561,64,done,0.0,8.0,0.1
1.0,1.0,channel_bracket,10045,0,0.0,,,1,6,0,20090,4,1172,0,0,2,0,4,0,0,0,5,11420,96360,0,0,0,2,172630,0,0,96947,34230,done,0.0,2.0,27.171
1.0,1.0,channel_bracket,4945,0,0.0,,,1,6,0,9890,4,586,0,0,2,0,4,0,0,0,5,2840,24090,0,0,0,2,38290,0,0,24384,8544,done,0.0,4.0,4.173
1.042,1.042,channel_bracket,2330,0,0.016,,,1,6,0,4660,4,292,0,0,2,0,4,0,0,0,5,730,5935,0,0,0,2,7210,0,0,6082,2172,done,0.0,8.0,0.878
1.0,1.0,closed_box,5400,0,0.0,,,1,12,0,10800,5,0,1630,0,2,0,8,0,0,0,6,1630,15000,0,0,0,8,19200,0,0,15002,2048,done,0.0,2.0,2.721
1.0,1.0,closed_box,2400,0,0.0,,,1,12,0,4800,5,0,406,0,2,0,8,0,0,0,6,406,3750,0,0,0,8,2700,0,0,3752,570,done,0.0,4.0,0.467
1.083,1.083,closed_box,870,90,0.081,,,1,12,0,1830,5,24,104,0,2,0,8,0,0,0,6,104,919,0,0,32,4,98,30,90,974,154,done,0.0,8.0,0.181
1.0,1.0,corner_3panel,2025,0,0.0,,,1,3,0,4050,2,420,3216,0,2,0,2,0,0,0,3,3216,14700,0,0,0,1,25350,0,0,14911,4224,done,0.0,2.0,1.626
1.0,1.0,corner_3panel,975,0,0.0,,,1,3,0,1950,2,210,804,0,2,0,2,0,0,0,3,804,3675,0,0,0,1,5400,0,0,3781,1058,done,0.0,4.0,0.336
1.0,1.0,corner_3panel,465,0,0.0,,,1,3,0,930,2,108,220,0,2,0,2,0,0,0,3,220,972,0,0,0,1,1014,0,0,1027,288,done,0.0,8.0,0.186
1.0,1.0,cross,4500,0,0.0,,,1,8,0,9000,4,240,2416,0,2,0,8,0,0,0,5,1706,18000,0,0,0,4,27000,0,0,18121,2420,done,0.0,2.0,2.936
1.0,1.0,cross,2100,0,0.0,,,1,8,0,4200,4,120,612,0,2,0,8,0,0,0,5,444,4500,0,0,0,4,4800,0,0,4561,612,done,0.0,4.0,0.566
1.0,1.0,cross,900,0,0.0,,,1,8,0,1800,4,60,138,0,2,0,8,0,0,0,5,96,1125,0,0,0,4,450,0,0,1156,138,done,0.0,8.0,0.175
1.0,1.0,cross_fold_demo,1400,0,0.0,,,1,2,0,2800,2,560,2238,0,1,0,0,0,0,0,3,1962,14700,0,0,0,0,26600,0,0,14981,2054,done,0.0,2.0,1.193
1.0,1.0,cross_fold_demo,700,0,0.0,,,1,2,0,1400,2,280,556,0,1,0,0,0,0,0,3,484,3675,0,0,0,0,5950,0,0,3816,514,done,0.0,4.0,0.302
1.0,1.0,cross_fold_demo,360,0,0.0,,,1,2,0,720,2,144,146,0,1,0,0,0,0,0,3,126,972,0,0,0,0,1224,0,0,1045,136,done,0.0,8.0,0.11
1.0,1.0,hd_mobis_bracket,6830,0,0.0,,,1,4,0,13660,4,2028,0,0,1,0,0,0,0,0,5,52744,176400,0,0,0,0,339140,0,0,177415,78292,done,0.0,2.0,37.488
1.0,1.0,hd_mobis_bracket,3430,0,0.0,,,1,4,0,6860,4,1014,0,0,1,0,0,0,0,0,5,13184,44100,0,0,0,0,81340,0,0,44608,19414,done,0.0,4.0,5.457
1.042,1.0,hd_mobis_bracket,1599,0,0.006,,,1,4,0,3198,4,506,0,0,1,0,0,0,0,0,5,3330,11005,0,0,0,0,18812,0,0,11259,4962,done,0.0,8.0,1.294
1.0,1.0,l_shape,1360,0,0.0,,,1,1,0,2720,1,632,8076,0,1,0,0,0,0,0,2,10208,24480,0,0,0,0,46240,0,0,24797,5326,done,0.0,2.0,1.864
1.0,1.0,l_shape,680,0,0.0,,,1,1,0,1360,1,316,2012,0,1,0,0,0,0,0,2,2552,6120,0,0,0,0,10880,0,0,6279,1324,done,0.0,4.0,0.454
1.023,1.023,l_shape,340,0,0.011,,,1,1,0,680,1,156,494,0,1,0,0,0,0,0,2,616,1496,0,0,0,0,2312,0,0,1575,326,done,0.0,8.0,0.135
1.0,1.0,long_thin_panel,1900,0,0.0,,,1,1,0,3800,1,540,756,0,1,0,0,0,0,0,2,6344,15200,0,0,0,0,26600,0,0,15471,5068,done,0.0,2.0,1.311
1.0,1.0,long_thin_panel,950,0,0.0,,,1,1,0,1900,1,270,188,0,1,0,0,0,0,0,2,1708,3800,0,0,0,0,5700,0,0,3936,1254,done,0.0,4.0,0.327
1.011,1.011,long_thin_panel,480,0,0.005,,,1,1,0,960,1,136,42,0,1,0,0,0,0,0,2,360,960,0,0,0,0,960,0,0,1029,306,done,0.0,8.0,0.125
1.0,1.0,mismatched_resolution,580,0,0.0,,,1,1,0,1160,1,632,3658,0,1,0,0,0,0,0,2,1374,16480,0,0,0,0,31800,0,0,16797,4290,done,0.0,2.0,1.154
1.0,1.0,mismatched_resolution,300,0,0.0,,,1,1,0,600,1,316,916,0,1,0,0,0,0,0,2,312,4120,0,0,0,0,7640,0,0,4279,1072,done,0.0,4.0,0.3
