case,resolution,n_panels,n_folds,n_verts_b,n_quads_b,n_tris_b,n_verts_a,n_quads_a,n_tris_a,free_b,free_a,tj_b,tj_a,nm_b,nm_a,dup_b,dup_a,orphan_b,orphan_a,comp_b,comp_a,sliv_q_a,sliv_t_a,nonplanar_q_a,inverted_q_a,aspect_p95_a,min_angle_p05_a,planarity_p95_a,mean_edge_a,edge_cv_a
box_unfolding,2.0,5,4,17405,17056,0,17173,17056,0,712,256,0,0,0,0,0,0,0,0,1,1,0,0,28,2,1.017,90.0,0.0,2.013,0.069
box_unfolding,4.0,5,4,4500,4325,0,4388,4325,0,364,132,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.255,90.0,0.0,3.994,0.077
box_unfolding,8.0,5,4,1280,1189,0,1220,1189,0,196,68,0,0,0,0,0,0,0,0,1,1,0,0,24,0,3.04,90.0,0.0,7.625,0.141
branching_tree,2.0,5,4,22390,21942,0,22252,21876,198,902,634,74,72,0,0,1,0,0,0,1,1,0,0,22,2,1.009,90.0,0.0,1.99,0.037
branching_tree,4.0,5,4,5858,5631,0,5785,5630,3,460,313,83,0,0,0,0,0,0,0,1,1,0,0,21,0,1.021,90.0,0.0,3.931,0.067
branching_tree,8.0,5,4,1604,1487,0,1561,1482,15,240,157,39,0,0,0,0,0,0,0,1,1,5,0,26,3,3.651,77.97,0.0,7.667,0.144
cascade_5_deep,2.0,5,4,10767,10488,0,10759,10488,0,562,552,0,0,0,0,0,0,0,0,1,1,0,0,17,3,1.0,90.0,0.0,2.001,0.023
cascade_5_deep,4.0,5,4,2931,2786,0,2923,2786,0,294,284,0,0,0,0,0,0,0,0,1,1,0,0,17,0,1.957,90.0,0.0,3.887,0.082
cascade_5_deep,8.0,5,4,874,795,0,864,795,0,162,152,0,0,0,0,0,0,0,0,1,1,5,0,24,4,3.75,90.0,0.0,7.316,0.167
closed_box,2.0,6,5,26466,26004,0,26008,26004,0,938,32,0,0,0,0,0,0,0,0,1,1,0,0,28,2,1.0,90.0,0.0,2.021,0.077
closed_box,4.0,6,5,6936,6703,0,6710,6703,0,480,22,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.284,90.0,0.0,3.977,0.074
closed_box,8.0,6,5,1852,1738,0,1746,1738,0,246,28,0,0,0,0,0,0,0,0,1,1,0,0,22,0,1.231,83.19,0.0,7.798,0.126
cross,2.0,5,4,22402,22045,0,22300,22045,0,724,528,0,0,0,0,0,0,0,0,1,1,0,0,20,2,1.0,90.0,0.0,2.006,0.042
cross,4.0,5,4,5783,5604,0,5733,5604,0,368,268,0,0,0,0,0,0,0,0,1,1,0,0,14,2,1.034,90.0,0.0,3.978,0.07
cross,8.0,5,4,1535,1444,0,1507,1444,0,192,136,0,0,0,0,0,0,0,0,1,1,0,0,18,2,3.95,90.0,0.0,7.847,0.138
cross_nonrect,2.0,5,4,19142,18789,0,19028,18789,0,716,496,0,0,0,0,0,0,0,0,1,1,0,0,20,2,1.0,90.0,0.0,2.007,0.048
cross_nonrect,4.0,5,4,5102,4921,0,5044,4921,0,372,256,0,0,0,0,0,0,0,0,1,1,0,0,14,2,1.283,90.0,0.0,3.923,0.068
cross_nonrect,8.0,5,4,1406,1313,0,1374,1313,0,196,132,0,0,0,0,0,0,0,0,1,1,0,0,18,2,3.824,90.0,0.0,7.605,0.134
h_shape,2.0,5,4,20173,19664,0,20167,19664,0,1016,1004,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.015,90.0,0.0,1.991,0.015
h_shape,4.0,5,4,5171,4916,0,5163,4916,0,508,494,0,0,0,2,0,0,0,0,1,1,0,0,16,2,1.015,90.0,0.0,3.986,0.028
h_shape,8.0,5,4,1452,1320,0,1444,1320,0,266,250,2,0,0,0,0,0,0,0,1,1,0,0,16,1,1.06,90.0,0.0,7.725,0.073
l_shape,2.0,2,1,6201,6032,0,6199,6032,0,336,332,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.018,90.0,0.0,1.995,0.014
l_shape,4.0,2,1,1593,1508,0,1591,1508,0,168,164,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.018,90.0,0.0,3.993,0.025
l_shape,8.0,2,1,420,377,0,418,377,0,84,80,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.046,90.0,0.0,8.007,0.052
l_shape_nonrect,2.0,2,1,9177,8976,0,9175,8976,0,400,396,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.008,90.0,0.0,2.0,0.011
l_shape_nonrect,4.0,2,1,2345,2244,0,2343,2244,0,200,196,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.008,90.0,0.0,4.002,0.02
l_shape_nonrect,8.0,2,1,612,561,0,610,561,0,100,96,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.008,90.0,0.0,8.018,0.039
long_thin_panel,2.0,2,1,6156,6000,0,6154,6000,0,310,306,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.0,90.0,0.0,2.0,0.012
long_thin_panel,4.0,2,1,1599,1520,0,1597,1520,0,156,152,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.013,90.0,0.0,3.977,0.025
long_thin_panel,8.0,2,1,420,380,0,418,380,0,78,74,0,0,0,0,0,0,0,0,1,1,0,0,6,0,1.013,90.0,0.0,7.962,0.037
mismatched_resolution,2.0,2,1,12463,12220,0,12461,12220,0,484,480,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.004,90.0,0.0,2.001,0.01
mismatched_resolution,4.0,2,1,3216,3093,0,3214,3093,0,244,240,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.07,90.0,0.0,3.979,0.026
mismatched_resolution,8.0,2,1,844,782,0,842,782,0,122,118,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.07,90.0,0.0,7.928,0.045
mixed_fold_dirs,2.0,3,2,14985,14720,0,14981,14720,0,528,520,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.0,90.0,0.0,2.0,0.011
mixed_fold_dirs,4.0,3,2,3854,3720,0,3850,3720,0,266,258,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.02,90.0,0.0,3.981,0.023
mixed_fold_dirs,8.0,3,2,987,920,0,983,920,0,132,124,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.025,90.0,0.0,8.022,0.045
nearly_aligned_free_edges,2.0,3,2,13365,13120,0,13361,13120,0,488,480,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.0,90.0,0.0,2.0,0.011
nearly_aligned_free_edges,4.0,3,2,3362,3240,0,3358,3240,0,242,234,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.025,90.0,0.0,4.028,0.025
nearly_aligned_free_edges,8.0,3,2,861,800,0,857,800,0,120,112,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.025,90.0,0.0,8.127,0.048
quad_junction,2.0,4,4,23469,23104,0,19626,23104,0,730,423,0,0,0,7492,3842,0,0,0,1,1,0,0,11,1,1.0,90.0,0.0,2.0,0.011
