case,resolution,n_panels,n_folds,n_verts_b,n_quads_b,n_tris_b,n_verts_a,n_quads_a,n_tris_a,free_b,free_a,tj_b,tj_a,nm_b,nm_a,dup_b,dup_a,orphan_b,orphan_a,comp_b,comp_a,sliv_q_a,sliv_t_a,nonplanar_q_a,inverted_q_a,aspect_p95_a,min_angle_p05_a,planarity_p95_a,mean_edge_a,edge_cv_a
box_unfolding,2.0,5,4,28085,27612,0,28085,27612,0,1392,920,0,0,0,0,0,240,0,240,1,1,7520,0,16,0,571.5,90.0,0.0,1.502,0.575
box_unfolding,4.0,5,4,7321,7080,0,7321,7080,0,712,480,116,116,0,0,0,120,0,120,1,1,0,0,8,0,1.017,90.0,0.0,2.961,0.339
box_unfolding,8.0,5,4,1984,1861,0,1984,1861,0,356,244,48,48,0,0,0,60,0,60,1,1,352,0,8,0,16.833,90.0,0.0,5.756,0.502
branching_tree,2.0,5,4,44631,44054,0,44631,44054,0,1758,1624,72,0,0,0,1,89,0,89,1,1,17978,0,168,0,1057.259,90.0,0.0,1.375,0.665
branching_tree,4.0,5,4,11471,11180,0,11471,11180,0,886,836,142,98,0,0,0,67,0,67,1,1,1110,0,97,0,8.99,90.0,0.0,2.732,0.436
branching_tree,8.0,5,4,3068,2919,0,3068,2919,0,448,410,63,42,0,0,0,40,0,40,1,1,850,0,58,2,23.348,90.0,0.0,5.349,0.559
cross,2.0,5,4,22404,22045,0,22404,22045,0,716,520,0,0,0,0,0,104,0,104,1,1,0,0,20,4,1.0,90.0,0.0,2.006,0.04
cross,4.0,5,4,10989,10724,0,10989,10724,0,848,744,160,156,0,0,0,54,0,54,1,1,0,0,12,0,1.019,90.0,0.0,2.719,0.353
cross,8.0,5,4,2941,2804,0,2941,2804,0,432,380,80,78,0,0,0,30,0,30,1,1,0,0,14,2,2.19,90.0,0.0,5.332,0.393
cross_nonrect,2.0,5,4,19144,18789,0,19144,18789,0,708,488,0,0,0,0,0,116,0,116,1,1,0,0,20,4,1.0,90.0,0.0,2.007,0.046
